"","Q025.estres","Q025.incremento","Q025.sin_cambio","Q025.reduccion"
"2024-06-20",-0.125975920514568,-0.114220493667999,-0.0327142154033552,-0.0259432484237554
"2024-06-21",-0.128994586095175,-0.117279759620197,-0.0365848321162119,-0.0293074024082455
"2024-06-25",-0.128610855148303,-0.116890867578591,-0.0362086288332011,-0.0288797531839712
"2024-06-26",-0.126488057139705,-0.114739518415298,-0.0334951434910832,-0.0265139994467
"2024-06-27",-0.129811569555956,-0.118107731324362,-0.037275194276192,-0.0302178902020933
"2024-06-28",-0.128616103425844,-0.116896186444281,-0.036217827287879,-0.0288856021305763
"2024-07-02",-0.129978931502916,-0.118277344251782,-0.0372859111785707,-0.0304044068418741
"2024-07-03",-0.128861663689615,-0.117145049438246,-0.0364807986419967,-0.0291592669396583
"2024-07-04",-0.127725529187975,-0.115993634183667,-0.0349937911665519,-0.0278931010433223
"2024-07-05",-0.125146466413874,-0.113379883596627,-0.0323937532027906,-0.0250188627164663
"2024-07-09",-0.123380940307217,-0.111590611561819,-0.0300030982568045,-0.0230512709021922
"2024-07-10",-0.124811792729169,-0.113040708626304,-0.0315757990124726,-0.0246458853925989
"2024-07-11",-0.126818316643593,-0.115074219835067,-0.033712861697054,-0.0268820573836441
"2024-07-12",-0.126814738550126,-0.115070593617049,-0.0334627706855357,-0.0268780697748565
"2024-07-16",-0.128596769946713,-0.116876592934214,-0.0359312580150465,-0.0288640559211287
"2024-07-17",-0.123281756588021,-0.111490093843959,-0.0293488406004315,-0.0229407355364096
"2024-07-18",-0.120648336732217,-0.10882125508472,-0.0270318382540967,-0.0200059189215279
"2024-07-19",-0.121780193421021,-0.109968334990845,-0.0281409921278629,-0.0212673174063325
"2024-07-23",-0.117916194335754,-0.106052365988904,-0.0240138206754847,-0.0169610809016083
"2024-07-24",-0.121477306783125,-0.109661374595946,-0.0280051054589286,-0.0209297651791922
"2024-07-25",-0.114798753077912,-0.102892995848877,-0.0200915482323158,-0.0134868462939853
"2024-07-26",-0.115030101741365,-0.103127456099703,-0.0203587662301755,-0.0137446729750735
"2024-07-30",-0.116545263462034,-0.104662996403967,-0.0225766309757556,-0.0154332460228738
"2024-07-31",-0.117078507910622,-0.105203412870185,-0.0230789142477787,-0.0160275206745443
"2024-08-01",-0.118220393954327,-0.106360657023774,-0.0243941438868848,-0.0173000963809898
"2024-08-02",-0.119890744686636,-0.108053473596902,-0.0261307993725171,-0.0191616199322219
"2024-08-06",-0.117160287016413,-0.105286291886514,-0.0228724858241161,-0.0161186594566474
